head,head_attr,relation,tail,tail_attr
phone,,included_in,box,
phone,,set_up_for,first time,
battery life,,lasts,all day,
battery charging,,reaches,50%,
battery charging speed,,in,roughly 30 minutes,
phone,,is_resistant_to,water and dust,
storage,,can_be_expanded_by,microsd,up to 1 TB
software update policy,,has,quarterly feature updates for 3 years and monthly security patches for 4 years,
phone,,supports,two numbers and 5g,
enable night mode,,helps,get great photos in low light,
hold steady,,helps,get great photos in low light,
wait for processing,,helps,get great photos in low light,
use pro mode,,helps,get great photos in low light,
consider raw,for advanced control,helps,get great photos in low light,
in-display fingerprint,,is_available,biometric options,
secure face unlock,,is_available,biometric options,
biometric data stays in a secure enclave on the device,,is_available,biometric options,
one-year limited hardware warranty,with optional extended coverage,is_offered,warranty and support options,
24/7 chat support,,is_offered,warranty and support options,
on-device care app for diagnostics,,is_offered,warranty and support options,
