PaymentID,ReportID,PaymentMethod,PaymentDate,TotalAmount,CompanyPaidAmount,EmployeeDueAmount,PaymentStatus,CompanyCode,PostingDate,Currency,ItemNumber,CostCenter,GLAccount,JournalName,DocumentType,PostingKey,ProfitCenter,Amount,JournalLineDescription,DebitAmount,CreditAmount,FiscalYear,PostedDate,ExchangeRate,ExchangeRateType,ExchangeRateDate,JournalSource,JournalCategory,PrimaryLedger
PAY-1,00033643-ab3c-4c37-a7ac-ac88400f7ff1,ExpenseReimbursement,2024-06-04T00:00:00,877.16,791.44,85.72,PAID,C001,2025-06-02,USD,ITEM-1,CC200,400000,JNL-RECENTLY,DR,40,PC03,1126.07,Natural along mother suddenly fast leader word cut.,1126.07,0.0,2025,2024-10-07,1.4604,B,2025-02-26,CONCUR,PURCHASE,APAC_LEDGER
PAY-2,00041e7d-3095-4452-b3cf-cbe430cedb3b,CorporateCardSettlement,2025-10-09T00:00:00,1055.79,983.66,72.13,PAID,C002,2024-10-30,GBP,ITEM-2,CC300,500000,JNL-POSSIBLE,SA,40,PC03,2660.2,Home collection possible many.,0.0,2660.2,2025,2024-11-14,1.0581,M,2025-03-27,WORKDAY,PURCHASE,APAC_LEDGER
PAY-3,000edf84-9318-49aa-93b1-5870e69aad3e,ExpenseReimbursement,2024-10-20T00:00:00,642.22,501.56,140.66,PAID,C002,2025-03-17,EUR,ITEM-3,CC200,400000,JNL-SMILE,SA,50,PC01,1339.72,Population partner soldier thus beautiful.,1339.72,0.0,2025,2024-12-24,1.1479,C,2024-10-30,CONCUR,TRAVEL,APAC_LEDGER
PAY-4,00127864-9b52-4b54-a514-410693d9a4dc,CorporateCardSettlement,2025-09-26T00:00:00,747.01,595.21,151.8,PAID,C002,2025-06-13,EUR,ITEM-4,CC100,500000,JNL-FIELD,SA,50,PC02,1736.27,Night cell available.,0.0,1736.27,2025,2025-01-23,1.2061,M,2025-05-03,CONCUR,EXPENSE,CORP_LEDGER
PAY-5,001e2e66-effa-4265-81e8-563fc01e0fa1,ExpenseReimbursement,2024-08-10T00:00:00,368.64,304.89,63.75,PAID,C002,2024-11-03,EUR,ITEM-5,CC200,500000,JNL-BOARD,SA,50,PC03,3488.11,Write mind prepare per.,3488.11,0.0,2025,2025-03-28,1.2031,B,2025-01-11,SAP,EXPENSE,CORP_LEDGER
PAY-6,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,BankTransfer,2023-12-24T00:00:00,507.26,499.2,8.06,PAID,C001,2025-07-22,USD,ITEM-6,CC300,400000,JNL-YARD,DR,40,PC03,2425.73,Affect town situation provide buy.,0.0,2425.73,2025,2024-12-16,1.4776,C,2025-08-21,CONCUR,EXPENSE,APAC_LEDGER
PAY-7,0027f2ca-eecf-41d6-95ac-6affca75d32a,CorporateCardSettlement,2025-02-01T00:00:00,789.9,684.79,105.11,PAID,C001,2025-06-29,EUR,ITEM-7,CC300,500000,JNL-POWER,DR,40,PC03,4361.54,Another down try another light music girl.,4361.54,0.0,2025,2025-05-22,0.8137,C,2025-04-28,SAP,EXPENSE,CORP_LEDGER
PAY-8,003570ea-6c3f-49c0-aa19-53d339d03ea6,CorporateCardSettlement,2024-12-04T00:00:00,626.18,603.11,23.07,PAID,C001,2024-12-21,INR,ITEM-8,CC100,600000,JNL-THAN,KR,40,PC03,1796.29,Such nice body beautiful begin station rock.,0.0,1796.29,2025,2024-12-22,1.3628,B,2025-03-24,WORKDAY,TRAVEL,CORP_LEDGER
PAY-9,00381332-ec62-4f74-9d55-30a311dba80f,CorporateCardSettlement,2023-11-02T00:00:00,41.41,40.11,1.3,PAID,C001,2024-11-24,GBP,ITEM-9,CC100,600000,JNL-PM,SA,50,PC03,3893.99,Together rich soldier too.,3893.99,0.0,2025,2025-03-07,0.7961,M,2025-09-15,CONCUR,TRAVEL,CORP_LEDGER
PAY-10,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,BankTransfer,2024-05-08T00:00:00,313.12,258.52,54.6,PAID,C001,2024-10-23,INR,ITEM-10,CC300,500000,JNL-PROJECT,DR,50,PC01,3697.88,Expect card put leave ok morning.,0.0,3697.88,2025,2024-10-21,0.8455,C,2025-03-04,CONCUR,TRAVEL,CORP_LEDGER
PAY-11,00590874-132b-4976-9892-3b46a3f38573,ExpenseReimbursement,2025-08-28T00:00:00,99.02,77.31,21.71,PAID,C003,2025-01-16,GBP,ITEM-11,CC300,500000,JNL-TEAM,DR,50,PC03,252.73,Parent news situation order.,252.73,0.0,2025,2025-07-29,0.9952,B,2025-08-19,CONCUR,EXPENSE,CORP_LEDGER
PAY-12,005ba28d-f5a5-4e7d-af60-cd63d388e73e,BankTransfer,2025-08-20T00:00:00,199.88,158.75,41.13,PAID,C001,2025-04-03,GBP,ITEM-12,CC200,400000,JNL-FINISH,DR,50,PC02,4978.21,Why field doctor time.,0.0,4978.21,2025,2024-09-18,1.2845,C,2024-12-14,WORKDAY,EXPENSE,APAC_LEDGER
PAY-13,005e377f-5cd5-49f5-ad0f-c5132d106a78,BankTransfer,2024-01-12T00:00:00,1317.83,1179.33,138.5,PAID,C003,2025-05-05,INR,ITEM-13,CC300,400000,JNL-LAND,SA,40,PC03,3992.51,Cold direction decade how late consumer movement.,3992.51,0.0,2025,2024-10-16,1.0837,M,2025-01-08,WORKDAY,PURCHASE,CORP_LEDGER
PAY-14,00649060-db22-4827-8cf8-c11b02eb476b,BankTransfer,2025-07-11T00:00:00,86.87,83.15,3.72,PAID,C003,2025-05-09,USD,ITEM-14,CC200,600000,JNL-PRODUCTION,KR,40,PC01,1795.41,Road born interesting about too set set class.,0.0,1795.41,2025,2025-08-04,0.84,B,2025-03-25,WORKDAY,TRAVEL,CORP_LEDGER
PAY-15,006bf563-aa07-4727-9a48-2cafc07bb6c3,BankTransfer,2025-02-05T00:00:00,719.14,677.35,41.79,PAID,C002,2025-09-08,USD,ITEM-15,CC200,500000,JNL-EYE,SA,40,PC03,366.89,Mean she central card strong.,366.89,0.0,2025,2025-01-08,0.7962,C,2025-04-24,CONCUR,EXPENSE,APAC_LEDGER
PAY-16,007ff11d-3be2-4ddc-8780-d952cfe6b953,CorporateCardSettlement,2024-02-23T00:00:00,146.16,119.07,27.09,PAID,C001,2025-07-02,INR,ITEM-16,CC100,600000,JNL-COMMON,DR,50,PC03,2378.65,Sure would police firm yet almost.,0.0,2378.65,2025,2025-07-18,1.182,C,2025-04-21,CONCUR,TRAVEL,CORP_LEDGER
PAY-17,0081de6a-c87f-40c2-935c-d98921a92166,BankTransfer,2024-01-21T00:00:00,1314.35,1096.03,218.32,PAID,C002,2025-04-08,EUR,ITEM-17,CC300,500000,JNL-WRONG,SA,40,PC02,3541.06,Everything television course floor stay strong face.,3541.06,0.0,2025,2025-05-12,1.2593,C,2025-01-24,CONCUR,EXPENSE,APAC_LEDGER
PAY-18,00869cf4-9e72-4f07-9cd4-c65f3ee47d75,BankTransfer,2024-03-07T00:00:00,11.25,9.41,1.84,PAID,C001,2025-08-17,EUR,ITEM-18,CC200,400000,JNL-THOUGH,SA,40,PC01,4455.3,Answer family card she environment activity.,0.0,4455.3,2025,2024-11-14,0.8295,M,2024-10-21,SAP,TRAVEL,APAC_LEDGER
PAY-19,00a1fc81-3eef-44da-a261-b7a327834c06,CorporateCardSettlement,2025-09-17T00:00:00,522.71,507.2,15.51,PAID,C003,2025-06-26,EUR,ITEM-19,CC300,400000,JNL-PAST,DR,50,PC01,1982.57,Five doctor become understand treatment put perform.,1982.57,0.0,2025,2025-01-22,0.9125,C,2025-02-16,CONCUR,PURCHASE,CORP_LEDGER
PAY-20,00a93cd2-14b7-4859-8ef1-3446e5b8244d,BankTransfer,2024-08-13T00:00:00,392.77,368.1,24.67,PAID,C003,2024-10-23,USD,ITEM-20,CC300,400000,JNL-CUSTOMER,SA,50,PC01,3355.34,Often senior shoulder culture experience star support foreign.,0.0,3355.34,2025,2025-02-10,1.0998,C,2025-07-20,CONCUR,PURCHASE,CORP_LEDGER
PAY-21,00a94503-7be4-4cff-b0af-0d9a3570c7da,ExpenseReimbursement,2024-09-18T00:00:00,1376.44,1038.68,337.76,PAID,C002,2024-10-30,USD,ITEM-21,CC300,600000,JNL-BANK,DR,50,PC01,1017.07,Almost it explain simple worry he.,1017.07,0.0,2025,2025-01-21,0.8064,B,2024-09-30,CONCUR,EXPENSE,APAC_LEDGER
PAY-22,00c0fc9e-b9e8-4a54-8e9d-d38ef35d839c,ExpenseReimbursement,2025-08-01T00:00:00,9.25,7.06,2.19,PAID,C001,2025-07-06,GBP,ITEM-22,CC100,400000,JNL-SKIN,KR,50,PC03,4963.42,Clear mean fish summer lawyer.,0.0,4963.42,2025,2024-09-26,1.1241,B,2025-08-03,SAP,PURCHASE,CORP_LEDGER
PAY-23,00cf9c8c-9f01-483a-ad87-71a4cf5ba691,CorporateCardSettlement,2025-01-22T00:00:00,787.87,591.74,196.13,PAID,C001,2025-07-09,GBP,ITEM-23,CC300,400000,JNL-INCLUDING,DR,40,PC02,2639.9,Threat present else meeting.,2639.9,0.0,2025,2025-01-06,1.3094,B,2025-01-23,CONCUR,PURCHASE,APAC_LEDGER
PAY-24,00d9f62d-9c1c-4a94-b8c0-1154086323eb,BankTransfer,2024-08-11T00:00:00,562.64,547.22,15.42,PAID,C003,2025-06-20,INR,ITEM-24,CC300,500000,JNL-GENERAL,DR,40,PC02,3295.54,Democrat music set.,0.0,3295.54,2025,2024-11-11,1.0485,M,2024-09-20,CONCUR,EXPENSE,CORP_LEDGER
PAY-25,00e716a7-2229-47f9-a46b-9c66f413217f,ExpenseReimbursement,2024-07-11T00:00:00,1305.52,1286.65,18.87,PAID,C002,2025-08-16,INR,ITEM-25,CC100,600000,JNL-ACTIVITY,DR,40,PC01,2863.89,Item third owner food player opportunity.,2863.89,0.0,2025,2025-02-01,1.054,C,2025-06-20,WORKDAY,PURCHASE,APAC_LEDGER
